Código,Nome,Dependências,Período,Duração
CSO101,INTRODUCAO AS CIENCIAS SOCIAIS,,1,1
ECO001,FUNDAMENTOS DA TEORIA ECONOMICA,,1,1
ECO002,CONTABILIDADE GERAL E ANALISE DE BALANCOS,,1,1
ECO003,FUNDAMENTOS DE MATEMATICA PARA A ECONOMIA,,1,1
ECO004,HISTORIA ECONOMICA GERAL,,1,1
CSO112,TOPICOS EM TEORIA POLITICA,,2,1
ECO005,MATEMATICA PARA ECONOMIA I,ECO003,2,1
ECO006,HISTORIA DO PENSAMENTO ECONOMICO,ECO004,2,1
ECO123,CONTABILIDADE NACIONAL,ECO001,2,1
ECO007,ESTATISTICA ECONOMICA I,ECO005,3,1
ECO008,MATEMATICA PARA ECONOMIA II,ECO005,3,1
ECO009,MACROECONOMIA I,ECO005;ECO123,3,1
ECO143,ECONOMIA POLITICA,ECO006,3,1
ECO010,TEORIA MICROECONOMICA I,ECO008,4,1
ECO011,ESTATISTICA ECONOMICA II,ECO007,4,1
ECO012,MACROECONOMIA II,ECO009,4,1
ECO013,MATEMATICA PARA ECONOMIA III,ECO005,4,1
ECO168,FORMACAO ECONOMICA BRASILEIRA,,4,1
ECO014,TEORIA MICROECONOMICA II,ECO010,5,1
ECO015,MACROECONOMIA III,ECO009,5,1
ECO016,ECONOMETRIA I,ECO011,5,1
ECO040,HISTORIA ECONOMICA CONTEMPORANEA,,5,1
ECO166,ENGENHARIA ECONOMICA,ECO003,5,1
ECO017,TEORIA MICROECONOMICA III,ECO014,6,1
ECO018,ECONOMIA BRASILEIRA I,ECO168,6,1
ECO019,MACROECONOMIA IV: TEORIAS DO CRESCIMENTO,ECO012,6,1
ECO020,TECNICAS DE PESQUISA EM ECONOMIA I,1380 horas,6,1
ECO021,ECONOMIA MONETARIA E FINANCEIRA,ECO009,6,1
ECO022,ECONOMIA BRASILEIRA II,ECO018;ECO040,7,1
ECO023,TECNICAS DE PESQUISA EM ECONOMIA II,ECO020,7,1
ECO453,ECONOMIA INTERNACIONAL I,ECO012,7,1
ECO024,ECONOMIA DO SETOR PUBLICO,ECO009;ECO014,8,1
ECO025,DESENVOLVIMENTO ECONOMICO E SOCIAL,ECO009,8,1
